time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-29 00:00:00+00:00,697,306,1047,422
2025-09-30 00:00:00+00:00,910,367,1280,465
2025-10-01 00:00:00+00:00,669,305,1121,392
2025-10-02 00:00:00+00:00,733,278,1107,401
2025-10-03 00:00:00+00:00,968,290,1027,416
2025-10-04 00:00:00+00:00,628,264,943,352
2025-10-05 00:00:00+00:00,470,245,699,319
2025-10-06 00:00:00+00:00,847,337,1019,425
2025-10-07 00:00:00+00:00,830,329,913,406
2025-10-08 00:00:00+00:00,871,340,905,375
2025-10-09 00:00:00+00:00,876,331,1100,481
2025-10-10 00:00:00+00:00,936,327,1181,452
2025-10-11 00:00:00+00:00,746,274,950,318
2025-10-12 00:00:00+00:00,569,248,822,302
