time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-31 00:00:00+00:00,80,38,111,51
2025-09-01 00:00:00+00:00,706,287,978,398
2025-09-02 00:00:00+00:00,861,317,995,398
2025-09-03 00:00:00+00:00,794,320,1326,395
2025-09-04 00:00:00+00:00,759,290,1059,377
2025-09-05 00:00:00+00:00,770,304,970,388
2025-09-06 00:00:00+00:00,396,198,726,280
2025-09-07 00:00:00+00:00,425,203,748,268
2025-09-08 00:00:00+00:00,765,306,1099,388
2025-09-09 00:00:00+00:00,906,292,1092,367
2025-09-10 00:00:00+00:00,810,303,1028,377
2025-09-11 00:00:00+00:00,669,323,961,358
2025-09-12 00:00:00+00:00,735,323,888,415
2025-09-13 00:00:00+00:00,363,162,679,267
2025-09-14 00:00:00+00:00,337,172,495,207
